value,datetime,datetime_utc,tz_time,geo_id,geo_name
290743.0,2025-01-07T06:00:00.000+01:00,2025-01-07T05:00:00Z,2025-01-07T05:00:00.000Z,8741,Península
341017.0,2025-01-07T07:00:00.000+01:00,2025-01-07T06:00:00Z,2025-01-07T06:00:00.000Z,8741,Península
383748.0,2025-01-07T08:00:00.000+01:00,2025-01-07T07:00:00Z,2025-01-07T07:00:00.000Z,8741,Península
398445.0,2025-01-07T09:00:00.000+01:00,2025-01-07T08:00:00Z,2025-01-07T08:00:00.000Z,8741,Península
396230.0,2025-01-07T10:00:00.000+01:00,2025-01-07T09:00:00Z,2025-01-07T09:00:00.000Z,8741,Península
386870.0,2025-01-07T11:00:00.000+01:00,2025-01-07T10:00:00Z,2025-01-07T10:00:00.000Z,8741,Península
378822.0,2025-01-07T12:00:00.000+01:00,2025-01-07T11:00:00Z,2025-01-07T11:00:00.000Z,8741,Península
382094.0,2025-01-07T13:00:00.000+01:00,2025-01-07T12:00:00Z,2025-01-07T12:00:00.000Z,8741,Península
383935.0,2025-01-07T14:00:00.000+01:00,2025-01-07T13:00:00Z,2025-01-07T13:00:00.000Z,8741,Península
383136.0,2025-01-07T15:00:00.000+01:00,2025-01-07T14:00:00Z,2025-01-07T14:00:00.000Z,8741,Península
387114.0,2025-01-07T16:00:00.000+01:00,2025-01-07T15:00:00Z,2025-01-07T15:00:00.000Z,8741,Península
400049.0,2025-01-07T17:00:00.000+01:00,2025-01-07T16:00:00Z,2025-01-07T16:00:00.000Z,8741,Península
423614.0,2025-01-07T18:00:00.000+01:00,2025-01-07T17:00:00Z,2025-01-07T17:00:00.000Z,8741,Península
435442.0,2025-01-07T19:00:00.000+01:00,2025-01-07T18:00:00Z,2025-01-07T18:00:00.000Z,8741,Península
446168.0,2025-01-07T20:00:00.000+01:00,2025-01-07T19:00:00Z,2025-01-07T19:00:00.000Z,8741,Península
436138.0,2025-01-07T21:00:00.000+01:00,2025-01-07T20:00:00Z,2025-01-07T20:00:00.000Z,8741,Península
389989.0,2025-01-07T22:00:00.000+01:00,2025-01-07T21:00:00Z,2025-01-07T21:00:00.000Z,8741,Península
344306.0,2025-01-07T23:00:00.000+01:00,2025-01-07T22:00:00Z,2025-01-07T22:00:00.000Z,8741,Península
315876.0,2025-01-08T00:00:00.000+01:00,2025-01-07T23:00:00Z,2025-01-07T23:00:00.000Z,8741,Península
290801.0,2025-01-08T01:00:00.000+01:00,2025-01-08T00:00:00Z,2025-01-08T00:00:00.000Z,8741,Península
275867.0,2025-01-08T02:00:00.000+01:00,2025-01-08T01:00:00Z,2025-01-08T01:00:00.000Z,8741,Península
269501.0,2025-01-08T03:00:00.000+01:00,2025-01-08T02:00:00Z,2025-01-08T02:00:00.000Z,8741,Península
269468.0,2025-01-08T04:00:00.000+01:00,2025-01-08T03:00:00Z,2025-01-08T03:00:00.000Z,8741,Península
278575.0,2025-01-08T05:00:00.000+01:00,2025-01-08T04:00:00Z,2025-01-08T04:00:00.000Z,8741,Península
316059.0,2025-01-08T06:00:00.000+01:00,2025-01-08T05:00:00Z,2025-01-08T05:00:00.000Z,8741,Península
373378.0,2025-01-08T07:00:00.000+01:00,2025-01-08T06:00:00Z,2025-01-08T06:00:00.000Z,8741,Península
407636.0,2025-01-08T08:00:00.000+01:00,2025-01-08T07:00:00Z,2025-01-08T07:00:00.000Z,8741,Península
412287.0,2025-01-08T09:00:00.000+01:00,2025-01-08T08:00:00Z,2025-01-08T08:00:00.000Z,8741,Península
407502.0,2025-01-08T10:00:00.000+01:00,2025-01-08T09:00:00Z,2025-01-08T09:00:00.000Z,8741,Península
398232.0,2025-01-08T11:00:00.000+01:00,2025-01-08T10:00:00Z,2025-01-08T10:00:00.000Z,8741,Península
391747.0,2025-01-08T12:00:00.000+01:00,2025-01-08T11:00:00Z,2025-01-08T11:00:00.000Z,8741,Península
392088.0,2025-01-08T13:00:00.000+01:00,2025-01-08T12:00:00Z,2025-01-08T12:00:00.000Z,8741,Península
390985.0,2025-01-08T14:00:00.000+01:00,2025-01-08T13:00:00Z,2025-01-08T13:00:00.000Z,8741,Península
